datetime,NEP_median,NEP_lower95,NEP_upper95,GPP_median,Ra_median,Rh_median
2000-01-01,-1.8809077406664958,-2.458296129062834,-1.1124032863890112,0.051015107018389835,0.016167736302652287,1.9039909291826043
2000-01-02,-2.0173555284618656,-2.699418741347344,-1.1412056270251054,0.09871842388050411,0.03103777463420237,2.083507868493916
2000-01-03,-2.2885319455220725,-3.046464821396901,-1.3052005310298864,0.05706833981911183,0.01791009123164493,2.338390948302236
2000-01-04,-1.6287677315092193,-2.3604076054240783,-0.6583377442197358,0.6955315868731293,0.21977818372396812,2.0919963585286707
2000-01-05,-1.5010728349238804,-2.1943337089274397,-0.49671957712646553,0.8004266199504395,0.25557147087771226,2.0378505036749517
2000-01-06,-1.778340408949422,-2.470459938273101,-0.8790309938433469,0.48496215967363115,0.15450428438104113,2.0972526958903575
2000-01-07,-1.6500426650038247,-2.3287356195757303,-0.7176230280339083,0.633499729812931,0.20016534071949652,2.0681388719207865
2000-01-08,-2.0799989563815995,-2.7553149903637566,-1.1582792694818136,0.13353830253079035,0.042038796831114694,2.1579448631508162
2000-01-09,-1.6225038768825581,-2.257836561612935,-0.760543340349485,0.5302969977421323,0.16900104443023295,1.9694700755448196
2000-01-10,-1.286471992071985,-1.919947136847666,-0.44438093616160235,0.7804174379105291,0.24752319834073103,1.8253186561365171
2000-01-11,-1.7869849981254022,-2.313464174605299,-1.057673834759319,0.09289629490777362,0.029554831673816097,1.85140574737909
2000-01-12,-1.7611012673697504,-2.3219855456103917,-0.9688392164955013,0.25162338236985626,0.07950839475240334,1.927571809274601
2000-01-13,-1.575971319260062,-2.1293142404524517,-0.9510468414224164,0.1542480899706607,0.04886419912379464,1.6638886357280962
2000-01-14,-1.4419140773833854,-2.011443651958185,-0.8822072838212607,0.16488242528045205,0.052665976144016,1.5402008205683773
2000-01-15,-1.0382721050719783,-1.700935386975945,-0.32835263190556807,0.8347194410748676,0.263268455254541,1.6167742082904377
2000-01-16,-1.8984820399721762,-2.5325433516851827,-1.0206366456897753,0.3507998506758474,0.11065777978960316,2.1539712001873084
2000-01-17,-1.8495874681109652,-2.762722419457156,-0.6817706400822298,1.029889437519378,0.3203563789547287,2.4914418824843554
2000-01-18,-1.364009348224399,-2.1002482325719245,-0.2703794946608488,1.150847995426157,0.3591328261047775,2.150859822502748
2000-01-19,-0.9565253268415769,-1.68130103965943,-0.09723649700928692,1.1448014181633543,0.35912415035216805,1.766271880145521
2000-01-20,-1.7851360602469475,-2.399570097294739,-0.9124656290454607,0.41607070131666624,0.12990016234629534,2.1124087690087765
2000-01-21,-0.4427279206203391,-1.258769430928743,0.2887387187817092,1.4299012066590349,0.4484792244834409,1.4360122609939139
2000-01-22,-0.8074047576075036,-1.4560061210910287,-0.35438607596089294,0.61779497693497,0.1916359825078816,1.2463519506703142
2000-01-23,-0.712555324930449,-1.3683888233303914,-0.24335374567100404,0.6857465199367916,0.21535547196878319,1.1927275177810561
2000-01-24,-0.19386657805725865,-0.9838038642265945,0.5140471700540248,1.474753261866708,0.45859592814987116,1.1749399275391705
2000-01-25,-1.3574501550398586,-1.967322283557634,-0.6599287721573924,0.43075015529352023,0.13213045076480334,1.6507992430226137
2000-01-26,-1.7349850155436621,-2.3414176443215036,-0.9772433061189497,0.24634029224621276,0.07516248011903864,1.9230312221929267
2000-01-27,-1.8064652182160876,-2.4458481958756684,-0.913015410948146,0.4016148416259169,0.12361462354589402,2.086679884532124
2000-01-28,-1.885939286670697,-2.5166952177768143,-1.0591297141012292,0.17870397101927765,0.055464852680000745,1.9929804629333976
2000-01-29,-2.1023222419391403,-2.784161387072654,-1.1850842078070287,0.12201879492620851,0.03780801080838796,2.1843249781492218
2000-01-30,-0.9459812711190205,-1.868804530210363,0.0611446969249472,1.481079019912387,0.46053454521574544,1.973063109540991
2000-01-31,-1.4477318205950467,-2.2362320990552345,-0.4519654049262646,1.0098653529995802,0.3088826918312567,2.1445329908460526
2000-02-01,-2.167964172276962,-2.9028507396270635,-1.2343765579378023,0.1275566948367871,0.039322518124621855,2.2641640016208613
2000-02-02,-1.5297173165763023,-2.2939753809178134,-0.5540773534244434,0.8737688007280663,0.26748009210925383,2.1050486647182076
2000-02-03,-0.6173564407796285,-1.603932203886238,0.3661030864023882,1.7819384840884092,0.5464548144188999,1.8619955734090028
2000-02-04,-2.0866315882517554,-2.798970275325517,-1.178434443423221,0.17684664910032966,0.05431457324930587,2.211009966409968
2000-02-05,-2.3124248012775315,-3.273739425647234,-1.3103160151872406,0.2896259854973998,0.08991130089698576,2.5113670963426857
2000-02-06,-2.0037696567914507,-2.8807075643275852,-1.1072096078619729,0.41608146620647724,0.13050675722254862,2.3259621892794553
2000-02-07,-1.6971760694933855,-2.5989118843387544,-0.6811204219766591,0.9449309416730092,0.2939017944006438,2.3275092347970587
2000-02-08,-1.9275653090366431,-2.762281052093848,-1.0688249335662625,0.38492488100061373,0.11954344552923729,2.2399957519523044
2000-02-09,-1.8127746573988688,-2.5034055349432873,-0.9594767712726324,0.35083598033777386,0.10911748181346179,2.046709876846239
2000-02-10,-1.5591961384732875,-2.3525882313619007,-0.6106366145800175,0.8351909633290071,0.2597955405522949,2.140999972937948
2000-02-11,-1.5798062484935849,-2.365764943309744,-0.6443044168378746,0.7896309923482793,0.24789431227860265,2.134001966991393
2000-02-12,-1.3537009388969046,-2.1212476862965417,-0.4213420553017528,0.976242891355533,0.3059551387083964,2.008158267323291
2000-02-13,-0.6887484772044254,-1.5821238772191628,0.33424439520222715,1.6595640248777508,0.5175470786605293,1.8090808420353974
2000-02-14,-0.28162876722240865,-1.2805776376839946,0.9481078963805889,2.1734454221552757,0.6789772324243089,1.7598593594623015
2000-02-15,-1.1097758053394742,-1.9558180232970757,-0.16650266379030176,1.288106107248848,0.40112604776076877,1.9852689450342458
2000-02-16,-1.498242325893888,-2.0713386101446636,-0.8260183005416171,0.39443515857575606,0.12303640532202256,1.7429061444361236
2000-02-17,-0.3472818633988761,-1.2947434841890448,0.7835254517049921,2.0181780362462014,0.6257883573117824,1.6599197657351694
2000-02-18,-1.208812027101255,-1.7999656501717176,-0.5826941110909607,0.59245383636472,0.18471407095858572,1.5752568948299563
2000-02-19,-1.4754295767195909,-2.022069439985914,-0.8830404203871208,0.1813416241815851,0.05655864025252205,1.6028943868544356
2000-02-20,-0.7159636163016088,-1.4584637205237367,-0.01924970515414134,1.2382459890531097,0.38901085525249557,1.5524372648975304
2000-02-21,-0.06473501972503416,-1.1322365734046445,1.1597574318484094,2.3172305053011923,0.7281425277382985,1.5968107111322054
2000-02-22,-0.5790463198749398,-1.378583302313778,0.1423384789085264,1.333406826259449,0.4207983842486713,1.4890937150083743
2000-02-23,-1.0785524712458385,-1.744296658189818,-0.38985115716230956,0.8229009018723521,0.261162764951966,1.6159086725066267
2000-02-24,-1.3626695011925758,-2.0120364909744337,-0.4480080749369487,0.8734370285752775,0.27725637132146164,1.9096015220774338
2000-02-25,-0.8668647305449605,-1.8693829212232176,0.2304367588953502,1.6820754957890791,0.5327658556223065,2.004259897109555
2000-02-26,-1.3854696072591748,-2.124236587155174,-0.38970658007066605,1.0391152539261341,0.32900100609617,2.052195763937668
2000-02-27,-0.41893573124161776,-1.6497425107795056,0.9427663140526995,2.3373882435486415,0.7464183694855745,2.0501037596802982
2000-02-28,-2.165791458161129,-3.146895245036846,-1.1895517335328778,0.43291642544670184,0.14040704071270804,2.457156800860626
