model,year,month,days_in_mo,scenario,gpp_gCm2d,rh_gCm2d,ra_gCm2d,lai_m2_m2
UKESM1-0-LL,1984,9,30,historical,4.935228912,1.0977912288,2.3769669888,2.830173
UKESM1-0-LL,1984,10,31,historical,2.2710377376,0.8906611391999999,0.9762984,2.7208111
UKESM1-0-LL,1984,11,30,historical,0.7863591456,0.538155792,0.32687822592000004,2.525995
UKESM1-0-LL,1984,12,31,historical,0.39963710016,0.44267495328,0.14429143008,2.347259
UKESM1-0-LL,1985,1,31,historical,0.1519259328,1.1144623248,0.06270598368000001,2.1795776
UKESM1-0-LL,1985,2,28,historical,0.58484516832,1.2027775104,0.20271886848,2.057398
UKESM1-0-LL,1985,3,31,historical,3.612089376,2.0139237792,1.319393232,2.2065718
UKESM1-0-LL,1985,4,30,historical,6.743956320000001,1.9155754368,2.6351184383999997,2.61695
UKESM1-0-LL,1985,5,31,historical,7.387257888,1.3937273856,3.4919903519999997,2.8048563
UKESM1-0-LL,1985,6,30,historical,3.8894648255999997,1.6812491328,2.335579488,2.7982676
UKESM1-0-LL,1985,7,31,historical,2.438413632,2.0181149568,1.4294181888000002,2.6462078
UKESM1-0-LL,1985,8,31,historical,1.7456522112,2.0179649663999997,1.0813347072000001,2.495029
UKESM1-0-LL,1985,9,30,historical,2.3327509248,1.3937729184,1.0846302624,2.411452
UKESM1-0-LL,1985,10,31,historical,1.4797809216,0.8370612144,0.602585568,2.371807
UKESM1-0-LL,1985,11,30,historical,0.7307619552,0.45612915264,0.28212804576,2.2274556
UKESM1-0-LL,1985,12,31,historical,0.10341400032,0.52946590464,0.038437092,2.0639718
UKESM1-0-LL,1986,1,31,historical,0.13797304128000001,1.0366564031999999,0.06689636639999999,1.9188713
UKESM1-0-LL,1986,2,28,historical,0.53922452544,1.1301216768,0.19696360032,1.8304981
UKESM1-0-LL,1986,3,31,historical,2.123857152,1.840614624,0.7773734592000001,1.9533681
UKESM1-0-LL,1986,4,30,historical,3.30677424,2.0061334368000003,1.0788190848,2.1712701
UKESM1-0-LL,1986,5,31,historical,8.032370832,2.043659376,2.9795526432,2.6468594
UKESM1-0-LL,1986,6,30,historical,7.285677408000001,1.0756922688,2.9427180768,2.8353896
