date,NEE_gC_m2_day,GPP_gC_m2_day,RECO_gC_m2_day
1999-01-01,0.5743332863999999,0.04980393216,0.6049873151999999
1999-01-02,0.41870960639999993,0.6801086592,1.081558656
1999-01-03,0.6219327743999999,0.1402821504,0.7421642495999999
1999-01-04,0.584542656,-0.166784832,0.4001716224
1999-01-05,0.470313216,-0.031177301759999998,0.42406156799999994
1999-01-06,0.9038407679999999,0.2415547008,1.1282250239999998
1999-01-07,0.7141571712,-0.0480821184,0.6463463039999999
1999-01-08,0.6124128767999999,0.3825190656,0.9761534207999999
1999-01-09,0.7713097344,-0.10450218239999999,0.6473136383999999
1999-01-10,0.8214141312,-0.2283769728,0.5749066368
1999-01-11,0.7708172543999999,0.10894279679999999,0.8626455935999999
1999-01-12,1.1710656,0.4000824576,1.560923136
1999-01-13,0.8570251007999999,0.46928885759999994,1.312806528
1999-01-14,0.8592417792,0.01149686784,0.8509608576
1999-01-15,0.9029957759999999,0.09767547648,0.9822477312
1999-01-16,0.9831134591999999,0.5098764672,1.481400576
1999-01-17,1.102771584,0.549830592,1.644603264
1999-01-18,1.11004992,0.3565181952,1.454464512
1999-01-19,0.7442751743999999,0.44506920959999996,1.1728177919999998
1999-01-20,1.25121024,0.2502441216,1.490275584
1999-01-21,1.3115208959999998,0.3139648128,1.616464512
1999-01-22,1.324014336,0.17738403839999997,1.489736448
1999-01-23,1.387476864,0.1766924928,1.554650496
1999-01-24,1.149303168,0.20673377279999997,1.341681408
1999-01-25,1.2647093759999999,0.05933668608,1.309291776
1999-01-26,1.0828961279999998,0.2571326208,1.3260775679999999
1999-01-27,1.881563904,0.13307431679999998,2.0211379199999997
1999-01-28,1.152071424,0.19891111679999998,1.368244224
1999-01-29,0.9918578304,-0.01078189056,1.006406208
1999-01-30,0.7879234176,0.1503691776,0.9646304255999999
1999-01-31,1.2584989439999998,-0.1648035072,1.1294588159999999
1999-02-01,1.415864448,-0.1576101888,1.300084992
1999-02-02,1.278612864,-0.1911620736,1.1073024
1999-02-03,0.9352257408,0.04101155711999999,0.9778496256
1999-02-04,1.1264209920000001,-0.204099264,0.9120231936
1999-02-05,1.0270872575999999,-0.1930563072,0.8147091456
1999-02-06,1.4598247679999998,-0.3543492096,1.09242432
1999-02-07,1.3276223999999999,-0.14323392,1.1734813439999998
1999-02-08,1.373739264,-0.1130070528,1.252122624
1999-02-09,1.530296064,0.02174501376,1.550679552
1999-02-10,1.116561024,0.5041719936,1.621202688
1999-02-11,1.929059712,0.03187092095999999,1.970085888
1999-02-12,1.289250432,-0.30229977599999996,0.9717573888
1999-02-13,1.0141127424,-0.1988851968,0.7978258944
1999-02-14,0.9403112448,0.1412733312,1.064005632
1999-02-15,1.12280256,0.238961664,1.343246976
1999-02-16,1.300136832,-0.0372273408,1.2380117759999998
1999-02-17,0.916847424,-0.10127099519999999,0.7765569792
1999-02-18,0.6902153856,0.2213422848,0.8644485888
1999-02-19,0.5772726144,0.3061152,0.832032
1999-02-20,0.7180130304,0.07441974144,0.7396676352
1999-02-21,0.7094386944,0.01000237248,0.6657106176
1999-02-22,0.6959696255999999,0.05123793023999999,0.6936150528
1999-02-23,0.8576534015999999,0.017803514879999996,0.8307785087999999
1999-02-24,1.1228129279999999,-0.06515209727999999,1.0250157312
1999-02-25,1.05800256,0.009381868416,1.04856768
1999-02-26,1.0869707519999998,0.08634864384,1.159391232
1999-02-27,1.51092864,0.15296014079999998,1.661192064
1999-02-28,1.126452096,0.1911019392,1.3075499519999998
1999-03-01,1.2603444480000001,0.05163253632,1.3045328639999998
1999-03-02,1.5394924799999998,-0.1518051456,1.3888247040000001
1999-03-03,1.1399097599999999,-0.1770045696,0.9548554751999999
1999-03-04,1.161558144,-0.1075565952,1.0493660159999998
1999-03-05,1.3666579199999997,-0.14059007999999998,1.2271461119999998
1999-03-06,0.8986422528,0.13488767999999998,1.0314635904
1999-03-07,0.5302236671999999,0.15799173119999999,0.6813507455999999
1999-03-08,0.7823537279999999,-0.05147214336,0.7277796864
1999-03-09,0.8587047167999999,0.034111964159999994,0.8957723904
1999-03-10,0.8331859584,-0.13620441599999997,0.6952334976
1999-03-11,0.4653127296,0.1828096128,0.6459865344
1999-03-12,0.46046361599999996,0.22903223039999998,0.6892501247999999
1999-03-13,0.5332957056,0.06225009408,0.5950423296
1999-03-14,0.2969633664,0.10868878079999998,0.4059310464
1999-03-15,0.4783079808,-0.027853113599999996,0.4518094464
1999-03-16,0.7991820287999999,-0.2791926144,0.523599552
1999-03-17,1.5162681599999999,-0.9172071935999999,0.6055046784
1999-03-18,0.903172032,-0.42845448959999993,0.4756143744
1999-03-19,1.2100803839999998,-0.7669323647999999,0.4428100224
1999-03-20,0.9017619839999998,-0.42047735039999995,0.4818496896
1999-03-21,1.0107700992,-0.4835365632,0.5287431168
1999-03-22,0.8812157183999999,-0.4262150016,0.45220446719999996
1999-03-23,0.8041462272,-0.2767779072,0.522878976
1999-03-24,1.069521408,-0.5125068288,0.5498451072
1999-03-25,0.7446992255999999,-0.15630174719999998,0.5786391167999999
1999-03-26,0.502194816,0.20978922239999998,0.7007658623999999
1999-03-27,0.8381242367999999,-0.1321132032,0.6917965056
1999-03-28,1.427528448,-0.6823367424,0.7284930048
1999-03-29,1.248286464,-0.3063007872,0.9239215104
1999-03-30,1.763627904,-0.5552675712,1.189074816
