model,year,month,days_in_mo,scenario,gpp_gCm2d,rh_gCm2d,ra_gCm2d,lai_m2_m2
CESM2,1985,5,31,historical,3.228939936,1.2504296160000001,1.0277918496,0.74828833
CESM2,1985,6,30,historical,6.963880176,1.224700992,2.6031030912,1.8573161
CESM2,1985,7,31,historical,4.4864845056,0.52146820224,2.733070464,2.2343209
CESM2,1985,8,31,historical,2.922694272,0.54382807296,1.4517517248,1.7053539
CESM2,1985,9,30,historical,1.3309766208,0.6776673408,-0.2866361904,0.5253098
CESM2,1985,10,31,historical,0.9786448512,0.6323644079999999,0.5505585984,0.45354235
CESM2,1985,11,30,historical,0.36800329536,0.7954326144,0.28045351008,0.467564
CESM2,1985,12,31,historical,0.15094156896,0.8253722880000001,0.16500182112,0.4683792
CESM2,1986,1,31,historical,0.18879708096,0.835011072,0.18093151008000002,0.45889166
CESM2,1986,2,28,historical,0.09573164928,0.15090909984,0.09187034688,0.43061706
CESM2,1986,3,31,historical,0.031640892191999996,0.49133183039999995,0.015482839392000002,0.05145964
CESM2,1986,4,30,historical,1.8909762336,1.3131275904000002,0.8252033759999999,0.87216073
CESM2,1986,5,31,historical,4.9995306432,1.4435434656,2.2421399616,1.4849238
CESM2,1986,6,30,historical,8.042977728,1.1882626992,3.871524816,2.571608
CESM2,1986,7,31,historical,7.924377312000001,0.8174558016000001,4.8315715488,2.8774242
CESM2,1986,8,31,historical,4.3962404832,0.7102356047999999,2.7908222975999997,2.2165709
CESM2,1986,9,30,historical,1.9166817024,0.7652215584,0.54627243264,0.8906594
CESM2,1986,10,31,historical,1.1854086048,0.6077437344,0.8822837088,0.75650454
CESM2,1986,11,30,historical,0.5422500633599999,1.2534079968,0.43260953471999997,0.71643245
CESM2,1986,12,31,historical,0.2173985568,0.8010961343999999,0.21944149344000002,0.68044096
CESM2,1987,1,31,historical,0.19424016,0.5044473936,0.19548563328000002,0.6331359
CESM2,1987,2,28,historical,0.010477461024,0.7189128,0.017079166656,0.059271034
CESM2,1987,3,31,historical,0.6644184192,0.949181328,0.38846729088,0.98588544
CESM2,1987,4,30,historical,2.0649741696,1.1822726304,1.1955529152,1.4713087
CESM2,1987,5,31,historical,5.09027328,1.5117454655999998,2.7321258528,1.7986047
CESM2,1987,6,30,historical,8.095749552,1.4153736959999998,3.838528224,2.7392366
CESM2,1987,7,31,historical,8.7522012,1.1026918368,4.7426146272,2.8927116
CESM2,1987,8,31,historical,4.7457621792,0.45072725184,3.2140719648,2.4071069
CESM2,1987,9,30,historical,2.283326064,0.36257042879999996,1.1204780976,1.551564
CESM2,1987,10,31,historical,1.3144629888000001,1.0378082016,0.9353356415999999,0.87016195
CESM2,1987,11,30,historical,0.5359167792,1.031358096,0.38803802112,0.8173026
CESM2,1987,12,31,historical,0.27839956608,1.0324599552,0.29084367168,0.77353287
CESM2,1988,1,31,historical,0.25414357824,0.7216544448000001,0.25372385568,0.7321865
CESM2,1988,2,29,historical,0.39587814720000003,0.976183056,0.28063915776,0.6947433
CESM2,1988,3,31,historical,0.8286948,1.0968422112,0.3696748848,0.6612797
CESM2,1988,4,30,historical,1.7270983296,1.4266098431999998,0.6888290112,0.68449354
CESM2,1988,5,31,historical,4.06515888,1.3911675263999999,1.5670258272000002,1.1424425
CESM2,1988,6,30,historical,7.699815072000001,1.3383309888,3.3839016192000004,2.2894096
CESM2,1988,7,31,historical,7.189096896000001,1.1125431648,3.752120448,2.5281718
CESM2,1988,8,31,historical,3.9000663648,0.8818253568000001,2.2523021568,1.9559805
CESM2,1988,9,30,historical,1.783551744,1.8837847296,0.072472212,0.7657353
CESM2,1988,10,31,historical,0.9649844064,1.5268401504,0.53338256352,0.7682785
CESM2,1988,11,30,historical,0.5359715136000001,1.1818715616,0.42592525055999997,0.783424
CESM2,1988,12,31,historical,0.343814544,0.8352578303999999,0.29248236864,0.7817162
CESM2,1989,1,31,historical,0.16990229088,0.22603019327999999,0.16574982912000003,0.62050414
CESM2,1989,2,28,historical,5.3273727647999996e-5,0.6472045151999999,2.3271720767999997e-5,1.957658e-4
CESM2,1989,3,31,historical,0.776283264,0.8236612656000001,0.42625411488,1.1537485
CESM2,1989,4,30,historical,1.7904092256000002,1.1596689648,0.90374154624,1.7041503
CESM2,1989,5,31,historical,4.231940256,1.3779022752,2.19173472,1.9265195
CESM2,1989,6,30,historical,8.228543327999999,1.4131215072,3.8375052480000003,2.8999815
CESM2,1989,7,31,historical,8.246661408,0.953321184,4.3680577536,3.3858147
CESM2,1989,8,31,historical,5.116055472,0.8043957504000001,3.155228208,2.9497447
CESM2,1989,9,30,historical,2.1829864608,0.28825759872,0.9128257632,1.7475938
CESM2,1989,10,31,historical,0.63130536,0.20534664672,0.50407689312,0.61927694
CESM2,1989,11,30,historical,4.188152736e-4,0.53664895008,1.9198550016e-4,9.3153026e-4
CESM2,1989,12,31,historical,0.26310814848,0.8692117344,0.38164100832000003,1.401504
CESM2,1990,1,31,historical,0.29498701824,0.7717002624,0.38878571808,2.0109558
CESM2,1990,2,28,historical,0.18505534752,0.5797037375999999,0.2225255328,1.0691309
CESM2,1990,3,31,historical,0.22611988512,1.1611342655999999,0.16400839392,0.3699416
CESM2,1990,4,30,historical,1.5372838368,1.800661968,1.0588208544,1.0183586
CESM2,1990,5,31,historical,4.063217299200001,2.1454263072,1.9677771936000001,1.3611566
CESM2,1990,6,30,historical,8.145340128,1.9059984288,3.8063492352000003,2.4394464
CESM2,1990,7,31,historical,7.080202656000001,0.9652077504000001,4.1588827488,2.7597651
CESM2,1990,8,31,historical,4.594968864,1.0582418016000001,2.3454514656,2.2109559
CESM2,1990,9,30,historical,2.3923596672,1.4349845952,0.6398730432,1.1906558
CESM2,1990,10,31,historical,1.2227447232,1.7756592768,0.6734318399999999,0.74208724
CESM2,1990,11,30,historical,0.6175842019200001,1.2767416992,0.38165719967999995,0.7088092
CESM2,1990,12,31,historical,0.2739895632,0.9890576928,0.25886659104,0.6774346
CESM2,1991,1,31,historical,0.3094307136,0.8346029702400001,0.27195512831999996,0.6442739
CESM2,1991,2,28,historical,0.5379041088000001,0.9700058015999999,0.30000668544,0.61376345
CESM2,1991,3,31,historical,0.8470809792,1.0986782112,0.36459179999999997,0.58805233
CESM2,1991,4,30,historical,1.6997201568,1.1749651775999999,0.6166845187200001,0.620012
CESM2,1991,5,31,historical,4.54072824,1.592166672,1.5279662016,1.1645981
CESM2,1991,6,30,historical,7.431921504,1.2836127456,2.989946304,2.234825
CESM2,1991,7,31,historical,7.584178176,1.1769080544,3.8270059200000004,2.4155114
CESM2,1991,8,31,historical,3.0405340223999997,0.638617608,1.8078649632,1.7597125
CESM2,1991,9,30,historical,1.7171643168000001,0.5156246592,0.34725409344,0.96218896
CESM2,1991,10,31,historical,1.1174575104,0.9055244880000001,0.7429146336,0.7484432
CESM2,1991,11,30,historical,0.6411742704,0.956760768,0.43473703104,0.75972813
CESM2,1991,12,31,historical,0.2911046688,0.8161623071999999,0.28635332544000003,0.75745976
CESM2,1992,1,31,historical,0.30077780544,0.73182312,0.2622506112,0.7412758
CESM2,1992,2,29,historical,0.5234246179200001,0.8639013312,0.3027393792,0.7201724
CESM2,1992,3,31,historical,0.8296999775999999,1.1724378048000001,0.4158616032,0.6992305
CESM2,1992,4,30,historical,1.7004537792,1.4897944224000002,0.7080240672,0.74876714
CESM2,1992,5,31,historical,4.363656624,1.2509973504,1.7034808032000002,1.1937876
CESM2,1992,6,30,historical,7.382943936,1.6278975648,3.09026448,2.2873902
CESM2,1992,7,31,historical,7.968088799999999,1.2812600736,3.920276448,2.5418868
CESM2,1992,8,31,historical,4.4175535488,0.934462224,2.4762510432,2.0602102
CESM2,1992,9,30,historical,1.7171985312,1.0648695456000001,0.16274144159999998,0.994249
CESM2,1992,10,31,historical,1.131585984,1.5281098848,0.59388221952,0.8312302
CESM2,1992,11,30,historical,0.6065607456000001,1.1866242528,0.42374503296000005,0.8453079
CESM2,1992,12,31,historical,0.22219449119999998,0.7607300544,0.25479994176,0.843417
CESM2,1993,1,31,historical,0.036280598112000004,0.09727625664,0.05397510816,0.5272846
CESM2,1993,2,28,historical,0.008107601472,0.6043408704,0.012192042240000001,0.04878578
CESM2,1993,3,31,historical,0.8358349824,0.9198903456,0.54485173152,1.4804767
CESM2,1993,4,30,historical,2.0355574752,1.4668877952,1.1240420544,1.843702
CESM2,1993,5,31,historical,5.409624096,1.4817239712,2.810269728,2.204411
CESM2,1993,6,30,historical,8.826152256,1.3374334656,4.2506265024,3.2626274
CESM2,1993,7,31,historical,8.777094336000001,1.31634504,4.8205742976,3.4401274
CESM2,1993,8,31,historical,4.1879952288,0.680778648,2.7126093888,2.597899
CESM2,1993,9,30,historical,2.1081066048,1.6995108096000002,0.5486244652800001,1.4736152
CESM2,1993,10,31,historical,1.056427056,1.4938039872000002,0.62532425088,1.1876479
CESM2,1993,11,30,historical,0.5890480272,1.263082896,0.50588908128,1.092656
CESM2,1993,12,31,historical,0.27438051456,0.8507908223999999,0.27186637824,1.0144325
CESM2,1994,1,31,historical,0.25748692992,0.47450010816,0.24592828608,0.92008686
CESM2,1994,2,28,historical,0.014812642368,0.42966802944,0.021399347232,0.08274279
CESM2,1994,3,31,historical,0.890246592,0.7616791584,0.4889735856,1.3365008
CESM2,1994,4,30,historical,2.3874601824,1.3254401087999998,1.56266496,1.8246119
CESM2,1994,5,31,historical,5.990805792,1.3294126944000002,3.1533995519999998,2.2671747
CESM2,1994,6,30,historical,9.12115728,1.248522336,4.3996160448,3.2349722
CESM2,1994,7,31,historical,6.3080608896,0.4934739456,4.3641376128000005,3.2516193
CESM2,1994,8,31,historical,3.907494432,0.910170432,2.2350761568,2.446275
CESM2,1994,9,30,historical,1.9990355904,1.6914127104,0.52441401024,1.2995878
CESM2,1994,10,31,historical,1.3134231647999999,1.667158416,0.7659502992,1.1257303
CESM2,1994,11,30,historical,0.63948690432,1.1652056927999999,0.46281787776000005,1.0299813
CESM2,1994,12,31,historical,0.33778351296000003,0.9064253376,0.304351344,0.95353246
CESM2,1995,1,31,historical,0.23528462688,0.52240449312,0.203535504,0.88561666000000006
CESM2,1995,2,28,historical,0.59590915488,0.9708856992,0.36725524416000005,0.82930607
CESM2,1995,3,31,historical,1.0488389759999999,1.2999051936000001,0.490852656,0.7842456
CESM2,1995,4,30,historical,1.6687416959999999,1.3456217663999999,0.6483116879999999,0.799484
CESM2,1995,5,31,historical,4.2629414400000005,1.3194371232,1.5827519232,1.2291679
CESM2,1995,6,30,historical,8.285357376,1.2633516,3.5150865408,2.4893224
