model,year,month,days_in_mo,scenario,gpp_gCm2d,rh_gCm2d,ra_gCm2d,lai_m2_m2,date
CESM2,1980,1,31,historical,0.073096989408,0.0065456653824000005,0.078131876832,0.38967577,1980-01-01
CESM2,1980,2,29,historical,0.12010324896,0.057182426496,0.09497767103999999,0.38501364,1980-02-01
CESM2,1980,3,31,historical,0.33056106048,0.584150184,0.14418441504,0.37921152,1980-03-01
CESM2,1980,4,30,historical,0.5573765951999999,0.9876314016000001,0.23827200192,0.37870196,1980-04-01
CESM2,1980,5,31,historical,3.4028517311999997,1.028565648,1.2410239392,1.1736447,1980-05-01
CESM2,1980,6,30,historical,6.052984416,0.8242778592,3.74845968,2.5214984,1980-06-01
CESM2,1980,7,31,historical,5.0954897664,0.62908570944,3.364193952,2.6312401,1980-07-01
CESM2,1980,8,31,historical,2.643790752,1.0220976576,1.6281273024,1.4877746,1980-08-01
CESM2,1980,9,30,historical,2.078515296,0.7950784608000001,1.2799070496,1.288179,1980-09-01
CESM2,1980,10,31,historical,1.4477643647999998,0.4467164688,0.9788664672,1.1757746,1980-10-01
CESM2,1980,11,30,historical,0.8726779296,0.39880924128,0.56940198048,1.1218634,1980-11-01
CESM2,1980,12,31,historical,0.3891365712,0.26805951648000004,0.3201926112,1.0813123,1980-12-01
CESM2,1981,1,31,historical,0.17055857664000001,0.044244826560000006,0.14491711296,0.62184525,1981-01-01
CESM2,1981,2,28,historical,0.12137779584,0.023739357311999998,0.09183442176,0.38867512,1981-02-01
CESM2,1981,3,31,historical,0.38765574432,0.6712562015999999,0.16442388288,0.38321498,1981-03-01
CESM2,1981,4,30,historical,0.5208198048,0.9243163584,0.21194282879999998,0.37974724,1981-04-01
CESM2,1981,5,31,historical,3.7633351680000002,0.9738966527999999,1.669363776,1.426934,1981-05-01
CESM2,1981,6,30,historical,7.219963296,0.8821806768,4.2335307072,2.8911035,1981-06-01
CESM2,1981,7,31,historical,6.539653152,0.8348950367999999,4.470769296,3.191658,1981-07-01
CESM2,1981,8,31,historical,3.6407914559999996,0.6457866048,2.1402397152000003,2.0262005,1981-08-01
CESM2,1981,9,30,historical,1.9899490752,0.43769393279999996,1.33073496,1.5312598,1981-09-01
CESM2,1981,10,31,historical,0.3531518352,0.53653195584,0.22234017888000002,0.4333955,1981-10-01
CESM2,1981,11,30,historical,0.70329276,0.6823676736,0.5393762352,1.5310289,1981-11-01
CESM2,1981,12,31,historical,0.5784338304000001,0.24364166688,0.51127271712,1.8788327,1981-12-01
CESM2,1982,1,31,historical,0.1065222144,0.025249917888,0.11807252064000001,0.56965107,1982-01-01
CESM2,1982,2,28,historical,0.13384499616,0.09965701728,0.09671531328,0.38794312,1982-02-01
CESM2,1982,3,31,historical,0.35117010431999995,0.6931534175999999,0.18938242368,0.38168827,1982-03-01
CESM2,1982,4,30,historical,0.5307485472,1.1611516320000002,0.30768073344,0.37654147,1982-04-01
CESM2,1982,5,31,historical,2.8236986208,1.360828512,1.2567041568000001,1.084745,1982-05-01
CESM2,1982,6,30,historical,6.017077872000001,1.3817639232,3.570537024,2.281612,1982-06-01
CESM2,1982,7,31,historical,6.2581728384,1.308162096,4.0003729632,2.674174,1982-07-01
CESM2,1982,8,31,historical,3.7744121664000003,1.256773536,1.8642056256,1.9047627,1982-08-01
CESM2,1982,9,30,historical,2.2422593664,0.9714757248,1.2531967488,1.3801701,1982-09-01
CESM2,1982,10,31,historical,1.4161316832,0.6954370559999999,0.7606666367999999,1.2396338,1982-10-01
CESM2,1982,11,30,historical,0.45868366367999996,0.5245251552,0.29683674720000003,1.0978128,1982-11-01
CESM2,1982,12,31,historical,0.31015881504000004,0.1667682864,0.26665206912,0.9350118,1982-12-01
CESM2,1983,1,31,historical,0.12998295936,0.05973189696,0.10807807104,0.39601573,1983-01-01
CESM2,1983,2,28,historical,0.230884992,0.39167012160000003,0.12861016704,0.3919727,1983-02-01
CESM2,1983,3,31,historical,0.3638268576,0.8140858559999999,0.15197268384,0.3876719,1983-03-01
CESM2,1983,4,30,historical,0.4889547936,0.9178096608,0.19658883168000002,0.38488707,1983-04-01
CESM2,1983,5,31,historical,1.5337541376,1.049118048,0.5400731376,0.6515498,1983-05-01
CESM2,1983,6,30,historical,7.0456024799999994,1.0369679616,3.464345376,2.5324795,1983-06-01
CESM2,1983,7,31,historical,7.160560704,0.7407342432,4.603467168,3.1638422,1983-07-01
CESM2,1983,8,31,historical,4.546891584,0.48848031072,2.7948001536,2.5233,1983-08-01
CESM2,1983,9,30,historical,1.8274411296,0.56016703008,1.1856076704,1.3845993,1983-09-01
CESM2,1983,10,31,historical,0.9026903519999999,0.9056609567999999,0.567147744,1.1101797,1983-10-01
CESM2,1983,11,30,historical,0.6755953392,0.42966353664,0.51926388768,1.9065154,1983-11-01
CESM2,1983,12,31,historical,0.223737552,0.23224550688,0.20830129344,0.83666205,1983-12-01
CESM2,1984,1,31,historical,0.14903547264,0.076639613184,0.11450209248,0.4084445,1984-01-01
CESM2,1984,2,29,historical,0.24937120512,0.5317766208,0.15347808288,0.40389708,1984-02-01
CESM2,1984,3,31,historical,0.340238448,0.77261904,0.20388452544,0.3988475,1984-03-01
CESM2,1984,4,30,historical,0.817061472,1.2098763936,0.3674439936,0.44951746,1984-04-01
CESM2,1984,5,31,historical,5.026922208,1.2182463935999999,2.4557615424,1.7412668,1984-05-01
CESM2,1984,6,30,historical,6.0507682560000005,0.9298247040000001,4.009823136,2.6671026,1984-06-01
CESM2,1984,7,31,historical,4.4139231936000005,0.6557127552,2.7685257408,2.3700938,1984-07-01
CESM2,1984,8,31,historical,2.6480255616,0.8559012095999999,1.73005416,1.4483049,1984-08-01
CESM2,1984,9,30,historical,1.4932885247999999,0.6225548544,1.0029526272,1.1425817,1984-09-01
CESM2,1984,10,31,historical,0.34507339200000003,0.45483932159999996,0.2189670192,0.4337944,1984-10-01
CESM2,1984,11,30,historical,0.2204481312,0.35080678368,0.13939363008,0.39696085,1984-11-01
CESM2,1984,12,31,historical,0.13354600896,0.11232313632,0.11312079839999999,0.39434186,1984-12-01
CESM2,1985,1,31,historical,0.12877330752,0.029178633024,0.10256525856,0.3897683,1985-01-01
CESM2,1985,2,28,historical,0.25828117056,0.37499659776,0.13310966304,0.3840953,1985-02-01
CESM2,1985,3,31,historical,0.3471251328,0.7508873664000001,0.1529964288,0.379106,1985-03-01
CESM2,1985,4,30,historical,0.6567537024,0.9630163008,0.25978148928,0.39739367,1985-04-01
CESM2,1985,5,31,historical,4.4326010592,0.9037911743999999,1.6293205728,1.7143269,1985-05-01
CESM2,1985,6,30,historical,7.002133344,0.7353337248,4.3726890528,3.1091402,1985-06-01
CESM2,1985,7,31,historical,6.42449664,0.8846199647999999,3.994665984,3.0056949,1985-07-01
CESM2,1985,8,31,historical,3.2727896640000003,0.9789912288000001,1.8328616064,1.7232739,1985-08-01
CESM2,1985,9,30,historical,2.101379328,0.6456664224,1.4261719680000002,1.4316853,1985-09-01
CESM2,1985,10,31,historical,0.5586262848,1.0740087216,0.3562694496,0.6314562,1985-10-01
CESM2,1985,11,30,historical,0.719095104,0.51627116448,0.5038849296,1.6820406,1985-11-01
CESM2,1985,12,31,historical,0.19337235839999997,0.033943348512,0.21483318528,1.3080722,1985-12-01
CESM2,1986,1,31,historical,0.11680188768,0.059402937600000004,0.10244938752,0.39969617,1986-01-01
CESM2,1986,2,28,historical,0.23760023328,0.41580012959999996,0.12679026336,0.39489007,1986-02-01
CESM2,1986,3,31,historical,0.34982107199999996,0.8008046207999999,0.19879441632,0.38996658,1986-03-01
CESM2,1986,4,30,historical,0.719434224,1.2230876016,0.34902218304000004,0.42951286,1986-04-01
CESM2,1986,5,31,historical,4.392905184,1.1325132288,1.8944891712,1.5628054,1986-05-01
CESM2,1986,6,30,historical,5.990694336000001,0.64599080256,3.6543137472,2.7409499,1986-06-01
CESM2,1986,7,31,historical,4.5011166912,0.3960849888,3.3846926112,2.8933022,1986-07-01
CESM2,1986,8,31,historical,1.36848744,1.07510739264,0.364338432,0.97870857,1986-08-01
CESM2,1986,9,30,historical,1.0977040512,1.0527676704,0.6586209792,0.8823348,1986-09-01
CESM2,1986,10,31,historical,1.3810229567999999,0.47252424383999997,0.975243672,1.2447375,1986-10-01
CESM2,1986,11,30,historical,0.2845110096,0.5680272096,0.20205459936000003,0.5549712,1986-11-01
CESM2,1986,12,31,historical,0.10969120224000001,0.10117357056000001,0.09758937023999999,0.3895232,1986-12-01
CESM2,1987,1,31,historical,0.13406874624,0.1151942256,0.1080228096,0.38535014,1987-01-01
CESM2,1987,2,28,historical,0.19646472672,0.35406967104,0.11505743712,0.37997377,1987-02-01
CESM2,1987,3,31,historical,0.35113478400000003,0.7522175808,0.1524315024,0.37450033,1987-03-01
CESM2,1987,4,30,historical,0.52920054432,1.1431445328,0.20571815808,0.3710061,1987-04-01
CESM2,1987,5,31,historical,3.1794007680000003,1.3345052832,1.0418887008,1.0589234,1987-05-01
CESM2,1987,6,30,historical,6.204087648000001,1.1289246048000001,3.1524238368,2.3728664,1987-06-01
CESM2,1987,7,31,historical,5.9949167039999995,1.113163776,3.60802944,2.6983523,1987-07-01
CESM2,1987,8,31,historical,2.7957237696,1.1570768352,1.0303806528,1.4038596,1987-08-01
CESM2,1987,9,30,historical,1.5337687392000001,1.181526912,0.7865106912,0.95585555,1987-09-01
CESM2,1987,10,31,historical,1.1613496176,0.7952378688,0.6179620032,0.95467657,1987-10-01
CESM2,1987,11,30,historical,0.5997056832,0.52399014048,0.35600141088,0.9429414,1987-11-01
CESM2,1987,12,31,historical,0.30832645248,0.1520004528,0.2425522752,0.8478981,1987-12-01
CESM2,1988,1,31,historical,0.16891450560000001,0.21364514208000002,0.12826376352,0.41654786,1988-01-01
CESM2,1988,2,29,historical,0.21449905056,0.31779369792,0.13076208864,0.41335425,1988-02-01
CESM2,1988,3,31,historical,0.404813808,0.7376409504,0.17623602432,0.40935457,1988-03-01
CESM2,1988,4,30,historical,0.5993213328,0.8795596032,0.25389343296,0.43317568,1988-04-01
CESM2,1988,5,31,historical,5.005364284800001,0.94367808,1.787318784,1.7463702,1988-05-01
CESM2,1988,6,30,historical,7.460656416,0.8187519744,4.320146016,3.0204968,1988-06-01
CESM2,1988,7,31,historical,4.9462908768,0.48029817024,3.0944963519999997,2.8959055,1988-07-01
CESM2,1988,8,31,historical,2.72279664,0.52981272288,1.6222057056,1.7200044,1988-08-01
CESM2,1988,9,30,historical,0.44803411200000004,0.26517744576,0.35986230719999995,0.5769335,1988-09-01
CESM2,1988,10,31,historical,0.28120791168000003,0.32607366047999997,0.1958557104,0.43739304,1988-10-01
CESM2,1988,11,30,historical,0.20956561920000003,0.27899885376,0.14717580768,0.42086118,1988-11-01
CESM2,1988,12,31,historical,0.15595685568,0.14211721727999999,0.12270885696,0.4169393,1988-12-01
CESM2,1989,1,31,historical,0.16100127648,0.13139186688,0.11795224319999999,0.4115366,1989-01-01
CESM2,1989,2,28,historical,0.26931150432,0.50811031296,0.14735767104,0.405435,1989-02-01
CESM2,1989,3,31,historical,0.38377215936,0.7176580128,0.174287376,0.3998277,1989-03-01
CESM2,1989,4,30,historical,0.4335596928,0.8461876896,0.21175096032000001,0.42018467,1989-04-01
CESM2,1989,5,31,historical,3.7753065792,0.8542774080000001,1.7022842496,1.6198971,1989-05-01
CESM2,1989,6,30,historical,7.852103712,0.7086060576,4.362368832,2.9763927,1989-06-01
CESM2,1989,7,31,historical,5.38033968,0.29838125952,3.5675116416,3.4002078,1989-07-01
CESM2,1989,8,31,historical,1.8270871488,1.3023140256,1.0301758848,1.212726,1989-08-01
CESM2,1989,9,30,historical,1.787886432,1.0846052496,1.3051621152,1.7016788,1989-09-01
CESM2,1989,10,31,historical,1.7224692768,0.6723991871999999,1.2392110944,1.8965582,1989-10-01
CESM2,1989,11,30,historical,1.301062176,0.38054349504,0.9739922112,1.875424,1989-11-01
CESM2,1989,12,31,historical,0.44869997088,0.17704187712000002,0.37295301312,1.7701666,1989-12-01
CESM2,1990,1,31,historical,0.11059324415999999,0.036140598144,0.11020672512,0.44788486,1990-01-01
CESM2,1990,2,28,historical,0.13086024768,0.031959959616,0.09446226048,0.39413998,1990-02-01
CESM2,1990,3,31,historical,0.34004069568,0.7949647584,0.18529338816000002,0.38778615,1990-03-01
CESM2,1990,4,30,historical,0.5934964608000001,1.1398756319999999,0.32470651872,0.39000952,1990-04-01
CESM2,1990,5,31,historical,3.8694755808,1.2241512806400001,1.6681444991999999,1.512512,1990-05-01
CESM2,1990,6,30,historical,7.377218208,1.1213468064,4.251980736,2.8366494,1990-06-01
CESM2,1990,7,31,historical,5.53125024,0.9357740352,3.345715584,2.76777,1990-07-01
CESM2,1990,8,31,historical,3.1051553471999997,0.848002608,1.8122447519999998,1.7273165,1990-08-01
CESM2,1990,9,30,historical,2.0229840288000003,0.763783344,1.4020574688,1.344939,1990-09-01
CESM2,1990,10,31,historical,0.9394038720000001,0.48730515840000005,0.6267599424,0.9115553,1990-10-01
CESM2,1990,11,30,historical,0.25113141504000003,0.4729189536,0.1553808096,0.3939041,1990-11-01
CESM2,1990,12,31,historical,0.18901537919999997,0.23720539392,0.15924816,0.6276257,1990-12-01
CESM2,1991,1,31,historical,0.35470107359999997,0.07881130656,0.31738488768,1.4081019,1991-01-01
CESM2,1991,2,28,historical,0.2434474224,0.47320445376,0.1349901504,0.38500994,1991-02-01
CESM2,1991,3,31,historical,0.60130549152,0.7500066912000001,0.3581186256,0.6694685,1991-03-01
CESM2,1991,4,30,historical,1.7179121088,1.01925756,1.0299699072,1.0268021,1991-04-01
CESM2,1991,5,31,historical,3.9387119615999997,1.2306858768,1.779035184,1.4446751,1991-05-01
CESM2,1991,6,30,historical,6.426582768,1.105005672,3.6582930719999998,2.514002,1991-06-01
CESM2,1991,7,31,historical,4.5107083872,0.7230037535999999,2.879709408,2.3848612,1991-07-01
CESM2,1991,8,31,historical,2.1868252128,0.9074376864,1.121365728,1.3026314,1991-08-01
CESM2,1991,9,30,historical,1.394613504,0.63111498624,0.9061825968,0.9775146,1991-09-01
CESM2,1991,10,31,historical,1.0581160032,0.4603021344,0.7055321184000001,0.94942755,1991-10-01
CESM2,1991,11,30,historical,0.48387695328,0.3116433312,0.32640766559999995,0.61932576,1991-11-01
CESM2,1991,12,31,historical,0.11479967136,0.14457249792,0.10491012864,0.37968844,1991-12-01
CESM2,1992,1,31,historical,0.12376470816,0.046337370624,0.10037536416000001,0.37581554,1992-01-01
CESM2,1992,2,29,historical,0.15185564640000002,0.07049018822400001,0.10097048736,0.37062162,1992-02-01
CESM2,1992,3,31,historical,0.3683903328,0.8837689248,0.15735536064,0.36511058,1992-03-01
CESM2,1992,4,30,historical,0.53099691264,1.0476567648000001,0.2401012368,0.37768316,1992-04-01
CESM2,1992,5,31,historical,3.8541945311999997,1.0188722592000001,1.3775290272,1.5386925,1992-05-01
CESM2,1992,6,30,historical,6.211953504,0.6262649568,3.7733739840000005,2.8862355,1992-06-01
CESM2,1992,7,31,historical,2.8082877120000003,0.3925675584,1.9579202496,2.4437783,1992-07-01
CESM2,1992,8,31,historical,1.2749476896,1.2535808832,0.5504369472,0.85423297,1992-08-01
CESM2,1992,9,30,historical,1.4062348224,0.5080900608000001,0.9381008735999999,1.2474703,1992-09-01
CESM2,1992,10,31,historical,0.53716827456,0.243590544,0.35307199295999997,0.6911498,1992-10-01
CESM2,1992,11,30,historical,0.14472628127999998,0.21316653791999998,0.11170821024000001,0.36683732,1992-11-01
CESM2,1992,12,31,historical,0.08709562368,0.022349567520000002,0.08509231008000001,0.36477977,1992-12-01
CESM2,1993,1,31,historical,0.13075688736000002,0.028708263648,0.10291902336,0.3605218,1993-01-01
CESM2,1993,2,28,historical,0.167334552,0.3102400656,0.10542619584,0.35535076,1993-02-01
CESM2,1993,3,31,historical,0.38883710016,0.8504949888,0.15266943072,0.35023654,1993-03-01
CESM2,1993,4,30,historical,0.44270945279999996,1.0871623872,0.17349888959999998,0.34714654,1993-04-01
CESM2,1993,5,31,historical,2.4601313088000003,1.3194617472,0.890651808,0.85395557,1993-05-01
CESM2,1993,6,30,historical,6.0018770880000005,1.174796784,2.8747930752,2.06745,1993-06-01
CESM2,1993,7,31,historical,4.8686946912,0.770142816,3.1045279104,2.5184886,1993-07-01
CESM2,1993,8,31,historical,3.047454144,1.0486068624,1.4261492448,1.551879,1993-08-01
CESM2,1993,9,30,historical,1.6548938496,1.1103420384,0.7233191568,0.9863781,1993-09-01
CESM2,1993,10,31,historical,0.8967189024000001,0.5753336256,0.52694553888,0.924697,1993-10-01
CESM2,1993,11,30,historical,0.6309037728,0.61036479072,0.36388108224,0.91011846,1993-11-01
CESM2,1993,12,31,historical,0.22916180447999998,0.033932715264,0.20942934912,0.7502145,1993-12-01
CESM2,1994,1,31,historical,0.08082056448000001,0.005450911718399999,0.08196570144,0.384727,1994-01-01
CESM2,1994,2,28,historical,0.15863472,0.28241554176,0.10773412991999999,0.38088012,1994-02-01
CESM2,1994,3,31,historical,0.36575354304,0.7372713311999999,0.1520061552,0.3762163,1994-03-01
CESM2,1994,4,30,historical,0.6441874272,1.0422845856,0.25119652608,0.38474262,1994-04-01
CESM2,1994,5,31,historical,3.8218393728,1.0390774608,1.360300608,1.3333119,1994-05-01
CESM2,1994,6,30,historical,7.2328355135999995,0.8897817168000001,4.125311424,2.7984784,1994-06-01
CESM2,1994,7,31,historical,5.76779832,0.7126425792,3.6697593887999997,2.6990604,1994-07-01
CESM2,1994,8,31,historical,3.2119367616,1.0269513504,1.77291936,1.5930822,1994-08-01
CESM2,1994,9,30,historical,2.2194491616,0.7720399008,1.4026821408,1.3541163,1994-09-01
CESM2,1994,10,31,historical,1.7195415264,0.5720372064,1.14464232,1.3287065,1994-10-01
CESM2,1994,11,30,historical,1.1094868512,0.40064843808000006,0.7410292992,1.2889789,1994-11-01
CESM2,1994,12,31,historical,0.4719363264,0.19190981376,0.3377813184,1.2577391,1994-12-01
CESM2,1995,1,31,historical,0.2469250656,0.15800785344,0.20451815712,0.6213978,1995-01-01
CESM2,1995,2,28,historical,0.33393234528,0.7092290016,0.17411606208000002,0.39843547,1995-02-01
CESM2,1995,3,31,historical,0.36804173472,0.6660972576,0.17249825664,0.39520013,1995-03-01
CESM2,1995,4,30,historical,0.7385421888,0.8738401824,0.30746320416,0.45726302,1995-04-01
CESM2,1995,5,31,historical,5.450732352,0.9736619040000001,2.419544304,2.3026342,1995-05-01
CESM2,1995,6,30,historical,7.326929952,0.51535401984,4.599725184,3.4800794,1995-06-01
CESM2,1995,7,31,historical,6.177071750400001,0.577429776,3.870455616,3.031914,1995-07-01
CESM2,1995,8,31,historical,1.7242637184,1.2294442656,0.9947669184,1.0291944,1995-08-01
CESM2,1995,9,30,historical,0.51319656,0.863173368,0.30220305984,0.41615194,1995-09-01
CESM2,1995,10,31,historical,0.3746503584,0.60949503648,0.21629865024,0.4326299,1995-10-01
CESM2,1995,11,30,historical,0.8356034304000001,0.56522644128,0.5372623296,1.6336604,1995-11-01
CESM2,1995,12,31,historical,0.36323559648,0.1481194944,0.32197279679999996,1.7766923,1995-12-01
CESM2,1996,1,31,historical,0.15972362784,0.14393463264,0.1198984464,0.40219396,1996-01-01
CESM2,1996,2,29,historical,0.24410293056,0.39017021760000004,0.13505105375999998,0.39761084,1996-02-01
CESM2,1996,3,31,historical,0.3815040384,0.9307414944,0.223656552,0.39309978,1996-03-01
CESM2,1996,4,30,historical,0.6043111488,1.2583118016,0.28069360704,0.39730167,1996-04-01
CESM2,1996,5,31,historical,4.2049259136,1.2093872832,1.7300314368,1.4414237,1996-05-01
CESM2,1996,6,30,historical,5.999482079999999,0.713171952,3.5774111807999995,2.7092338,1996-06-01
CESM2,1996,7,31,historical,4.8131472672,0.8722167263999999,2.6150233536,2.5232332,1996-07-01
CESM2,1996,8,31,historical,2.503724256,0.99549216,1.448293824,1.393512,1996-08-01
CESM2,1996,9,30,historical,1.9352553695999999,0.7305319584,1.2713456736,1.2464823,1996-09-01
CESM2,1996,10,31,historical,1.2844872864,0.4175092944,0.8336081952,1.1454716,1996-10-01
CESM2,1996,11,30,historical,0.19133929728000001,0.44180277119999994,0.13192062624,0.41331923,1996-11-01
CESM2,1996,12,31,historical,0.15933128544,0.32476219488,0.13906333152,1.041991,1996-12-01
