date,NEE_gC_m2_day,GPP_gC_m2_day,RECO_gC_m2_day
2005-05-29,-1.89003456,4.16337408,2.279736576
2005-05-30,-1.425257856,3.621656448,2.200701312
2005-05-31,-4.010736384,6.2060256,2.1964608
2005-06-01,-1.7730316799999999,4.060741247999999,2.282038272
2005-06-02,-1.844508672,3.8633863679999996,2.0138077439999997
2005-06-03,-1.0807914239999998,2.909820672,1.821771648
2005-06-04,-2.9256111359999997,4.588607232,1.661482368
2005-06-05,-3.8465798399999995,5.73542208,1.880371584
2005-06-06,-1.7946696959999997,3.881281536,2.092013568
2005-06-07,-2.8152748799999996,4.775573376,1.9479398399999999
2005-06-08,-1.9983905279999998,3.966890112,1.956203136
2005-06-09,-2.7208327679999997,4.5556162559999995,1.8248302079999998
2005-06-10,-1.348192512,3.0347239679999998,1.683752832
2005-06-11,-3.104034048,4.8943284479999996,1.7845194239999997
2005-06-12,-3.2583824639999994,5.121315072,1.867349376
2005-06-13,-2.4903417599999997,4.8900983039999995,2.437962624
2005-06-14,-2.2891610879999997,5.217975936,2.969156736
2005-06-15,-0.249189696,3.6239166719999996,3.387826944
2005-06-16,-1.1240881919999999,4.682406528,3.571537536
2005-06-17,-1.449975168,5.30903808,3.7797891839999997
2005-06-18,-0.7985164032,4.7089900799999995,3.9288291839999996
2005-06-19,-0.5299437311999999,4.666502016,3.9424008959999997
2005-06-20,-0.038461651199999995,4.23988992,4.001809536
2005-06-21,-0.4313222784,4.689933696,4.052840832
2005-06-22,-0.5498637695999999,4.804354943999999,4.099579776
2005-06-23,-2.929353984,7.094905343999999,4.071368447999999
2005-06-24,-1.335388032,5.410291967999999,4.013152128
2005-06-25,-2.511098496,6.779956608,4.123498752
2005-06-26,-2.649946752,6.840008063999999,4.137640704
2005-06-27,-1.3789543679999998,5.7613420799999995,4.4698417919999995
2005-06-28,-0.1271085696,4.5925056,4.465860479999999
2005-06-29,-2.9734905599999997,7.345727999999999,4.380448896
2005-06-30,-2.2368234240000002,6.817302144,4.57415424
2005-07-01,-0.8860129919999999,5.776593407999999,4.868947584
2005-07-02,-1.069179264,6.146212608,5.068230912
2005-07-03,-0.8085920256,5.504111999999999,4.703681664
2005-07-04,-1.977457536,6.735944448,4.762136448
2005-07-05,-1.138572288,6.009437952,4.942518912
2005-07-06,-1.152703872,6.122749824,5.056566912
2005-07-07,-1.371282048,6.43406976,5.184508032
2005-07-08,-0.11722268159999999,5.170303872,5.180080896
2005-07-09,-0.8596139904,5.836002048,5.225389056
2005-07-10,-1.461919104,6.44158656,5.206674816
2005-07-11,-0.8345140992,5.895586944,5.176027007999999
2005-07-12,-1.5083470079999999,6.536433024,5.070802175999999
2005-07-13,-0.48024783359999995,5.4367822079999995,5.11484544
2005-07-14,1.534235904,3.353716224,5.085296639999999
2005-07-15,-0.9087717887999999,5.718563712,4.916464127999999
2005-07-16,0.17859191039999997,4.695656832,5.0214816
2005-07-17,-0.9277690752,5.526185472,4.769238528
2005-07-18,-1.3254140159999999,5.777910144,4.4979287039999996
2005-07-19,-0.0909434304,5.045099904,5.001751296
2005-07-20,0.38527384319999997,4.897221119999999,5.278525055999999
2005-07-21,0.9910211327999999,4.445570303999999,5.4277931520000005
2005-07-22,0.24587297279999998,5.364527616,5.603033088
2005-07-23,0.7615845504,4.764593664,5.6147903999999995
2005-07-24,-0.01229634432,5.404185215999999,5.446600704
2005-07-25,-0.3133147392,5.70665088,5.394771071999999
2005-07-26,-0.1300385664,4.891643136,4.7682535679999996
2005-07-27,-2.259373824,7.265707775999999,5.010522623999999
2005-07-28,-2.149462656,7.448163839999999,5.342215679999999
2005-07-29,-0.1810833408,5.58658944,5.4302399999999995
2005-07-30,-0.9222937344,6.146855424,5.226135552
2005-07-31,-1.334911104,6.309259776,4.908273408
2005-08-01,-1.199899008,6.0447409919999995,4.813437312
2005-08-02,-1.2216303359999998,5.905156608,4.591344383999999
2005-08-03,0.11469081599999999,4.247323776,4.431355776
2005-08-04,2.21740416,1.712772864,3.997040256
2005-08-05,-1.984372992,6.18238656,4.307758848
2005-08-06,-2.53984896,7.118596223999999,4.623060096
2005-08-07,-1.921231872,6.668417664,4.7699124479999995
2005-08-08,-1.3374305279999998,6.335646335999999,4.831996032
2005-08-09,-0.52205472,5.69674944,4.511407104
2005-08-10,-1.4173056,6.4124732159999995,4.432506623999999
2005-08-11,-1.573582464,6.311592576,4.3449696
2005-08-12,-1.8877639679999998,6.799686912,4.3718538239999996
2005-08-13,0.489535488,4.101757056,4.048558848
2005-08-14,-2.2183683839999997,6.878037888,4.3190496
2005-08-15,-1.995850368,6.868914048,4.65637248
2005-08-16,-1.3737288959999998,6.178685184,4.664075904
2005-08-17,-2.003781888,6.7042805759999995,4.638767616
2005-08-18,-2.1842783999999997,6.87953088,4.679202815999999
2005-08-19,-2.3152055039999997,6.963231744,4.634361216
2005-08-20,-1.108588032,5.5461024,4.434590592
2005-08-21,-1.101579264,5.3475551999999995,4.25518272
