# FLUXCOM-X-BASE monthly extraction
# Site       : DK-Sor
# Time period: 2001-01 to 2021-12
# Source     : Nelson et al. (2024), Biogeosciences
#              Data DOI: https://doi.org/10.18160/5NZG-JMJE
# Access     : ICOS Carbon Portal public download (CCBY4 licence)
#              https://data.icos-cp.eu/licence_accept?ids=[...]
#              See ICOS_PIDS dict in this script for per-file PIDs
#
# Column units:
#   year           calendar year
#   month          calendar month (1 = January)
#   GPP_gC_m2_d    gross primary production    gC m-2 d-1
#   NEE_gC_m2_d    net ecosystem exchange      gC m-2 d-1  (negative = uptake)
#   TER_gC_m2_d    total ecosystem respiration gC m-2 d-1  (= GPP - NEE)
#   ET_mm_d        evapotranspiration          mm d-1
#
# Fill values: NaN (FLUXCOM fill values >1e15 or ==-9999 replaced with NaN)
#
year,month,GPP_gC_m2_d,NEE_gC_m2_d,ET_mm_d,TER_gC_m2_d
2001,1,0.24165965616703033,0.6046964526176453,0.007048263214528561,-0.36303679645061493
2001,2,0.4056035280227661,0.39031869173049927,0.013077691197395325,0.015284836292266846
2001,3,0.6495864987373352,0.10340830683708191,0.017664732411503792,0.5461781919002533
2001,4,2.1418633460998535,-0.6695079803466797,0.044542599469423294,2.811371326446533
2001,5,5.657134056091309,-2.4925098419189453,0.09016937017440796,8.149643898010254
2001,6,9.839201927185059,-4.767283916473389,0.11219049990177155,14.606485843658447
2001,7,9.171154975891113,-3.1200101375579834,0.12348063290119171,12.291165113449097
2001,8,3.516432762145996,-0.0660150796175003,0.07766886055469513,3.5824478417634964
2001,9,1.7905179262161255,0.5360535383224487,0.041583213955163956,1.2544643878936768
2001,10,1.0242376327514648,1.002604365348816,0.026486845687031746,0.021633267402648926
2001,11,0.40656813979148865,0.7072905898094177,0.014392797835171223,-0.3007224500179291
2001,12,0.10943185538053513,0.6061623692512512,0.006218336522579193,-0.4967305138707161
2002,1,0.14531606435775757,0.6426775455474854,0.007674978114664555,-0.4973614811897278
2002,2,0.3120010197162628,0.597699761390686,0.0163645651191473,-0.2856987416744232
