# FLUXCOM-X-BASE monthly extraction
# Site       : DE-Tha
# Time period: 2001-01 to 2021-12
# Source     : Nelson et al. (2024), Biogeosciences
#              Data DOI: https://doi.org/10.18160/5NZG-JMJE
# Access     : ICOS Carbon Portal public download (CCBY4 licence)
#              https://data.icos-cp.eu/licence_accept?ids=[...]
#              See ICOS_PIDS dict in this script for per-file PIDs
#
# Column units:
#   year           calendar year
#   month          calendar month (1 = January)
#   GPP_gC_m2_d    gross primary production    gC m-2 d-1
#   NEE_gC_m2_d    net ecosystem exchange      gC m-2 d-1  (negative = uptake)
#   TER_gC_m2_d    total ecosystem respiration gC m-2 d-1  (= GPP - NEE)
#   ET_mm_d        evapotranspiration          mm d-1
#
# Fill values: NaN (FLUXCOM fill values >1e15 or ==-9999 replaced with NaN)
#
year,month,GPP_gC_m2_d,NEE_gC_m2_d,ET_mm_d,TER_gC_m2_d
2001,1,0.41736406087875366,0.4769670367240906,0.00665855361148715,-0.059602975845336914
2001,2,0.8703917860984802,0.17454509437084198,0.01382905151695013,0.6958466917276382
2001,3,1.4430961608886719,-0.08005170524120331,0.019828077405691147,1.5231478661298752
2001,4,3.470433235168457,-1.1830623149871826,0.04784061759710312,4.65349555015564
2001,5,6.567511558532715,-2.341036319732666,0.08492131531238556,8.90854787826538
2001,6,7.965272903442383,-3.030442476272583,0.09238733351230621,10.995715379714966
2001,7,7.597860813140869,-2.0493974685668945,0.1126326471567154,9.647258281707764
2001,8,5.6343865394592285,-0.8735142946243286,0.09270665049552917,6.507900834083557
2001,9,2.7270803451538086,0.16442306339740753,0.03915935382246971,2.562657281756401
2001,10,1.894417643547058,0.5955238342285156,0.03133693337440491,1.2988938093185425
2001,11,0.42235153913497925,0.6874703168869019,0.009611884132027626,-0.2651187777519226
2001,12,0.07159572094678879,0.5505260825157166,0.005400987342000008,-0.47893036156892776
2002,1,0.1633489429950714,0.5773513913154602,0.008623430505394936,-0.4140024483203888
2002,2,0.3667484223842621,0.5860912799835205,0.01434492226690054,-0.21934285759925842
2002,3,0.7694302797317505,0.3782847225666046,0.02430998720228672,0.3911455571651459
2002,4,1.7101526260375977,-0.13337352871894836,0.04028603807091713,1.843526154756546
2002,5,6.973060131072998,-2.325929880142212,0.07755012810230255,9.29899001121521
2002,6,8.895419120788574,-3.0224902629852295,0.1057572066783905,11.917909383773804
2002,7,7.2661662101745605,-1.6881839036941528,0.10665130615234375,8.954350113868713
2002,8,5.930508136749268,-0.8222802877426147,0.09917166084051132,6.752788424491882
2002,9,3.862833023071289,-0.40955081582069397,0.055586785078048706,4.272383838891983
2002,10,1.5172548294067383,0.4536891579627991,0.024677494540810585,1.0635656714439392
2002,11,0.3304932117462158,0.7638429403305054,0.00907947774976492,-0.43334972858428955
2002,12,0.05865199491381645,0.5116701722145081,0.004916067235171795,-0.4530181773006916
