# FLUXCOM-X-BASE monthly extraction
# Site       : US-NR1
# Time period: 2001-01 to 2021-12
# Source     : Nelson et al. (2024), Biogeosciences
#              Data DOI: https://doi.org/10.18160/5NZG-JMJE
# Access     : ICOS Carbon Portal public download (CCBY4 licence)
#              https://data.icos-cp.eu/licence_accept?ids=[...]
#              See ICOS_PIDS dict in this script for per-file PIDs
#
# Column units:
#   year           calendar year
#   month          calendar month (1 = January)
#   GPP_gC_m2_d    gross primary production    gC m-2 d-1
#   NEE_gC_m2_d    net ecosystem exchange      gC m-2 d-1  (negative = uptake)
#   TER_gC_m2_d    total ecosystem respiration gC m-2 d-1  (= GPP - NEE)
#   ET_mm_d        evapotranspiration          mm d-1
#
# Fill values: NaN (FLUXCOM fill values >1e15 or ==-9999 replaced with NaN)
#
year,month,GPP_gC_m2_d,NEE_gC_m2_d,ET_mm_d,TER_gC_m2_d
2001,1,0.0075147016905248165,0.4151236116886139,0.01073677558451891,-0.4076089099980891
2001,2,0.07680509239435196,0.4469597041606903,0.015526562929153442,-0.37015461176633835
2001,3,0.2581850290298462,0.37114259600639343,0.024227188900113106,-0.11295756697654724
2001,4,0.9556996822357178,-0.08508404344320297,0.043190568685531616,1.0407837256789207
2001,5,1.937961459159851,-0.6197689771652222,0.06554775685071945,2.5577304363250732
2001,6,2.6283764839172363,-0.5885725021362305,0.09084410220384598,3.216948986053467
2001,7,3.2892520427703857,-0.5431975722312927,0.10539164394140244,3.8324496150016785
2001,8,2.7064337730407715,-0.2522449493408203,0.08295523375272751,2.958678722381592
2001,9,1.5251405239105225,-0.0033469602931290865,0.05544736236333847,1.5284874842036515
2001,10,0.7966861724853516,0.21848446130752563,0.03208715841174126,0.5782017111778259
2001,11,0.3639878034591675,0.2966558039188385,0.01810299977660179,0.06733199954032898
2001,12,0.04898269101977348,0.3502185046672821,0.011078966781497002,-0.3012358136475086
2002,1,0.0597853884100914,0.33181825280189514,0.010873746126890182,-0.27203286439180374
2002,2,0.08367767184972763,0.31959444284439087,0.0154869444668293,-0.23591677099466324
2002,3,0.2340891808271408,0.24768058955669403,0.024803906679153442,-0.013591408729553223
2002,4,0.9362492561340332,-0.19574479758739471,0.04246121272444725,1.131994053721428
2002,5,1.6662651300430298,-0.5046176314353943,0.06086504086852074,2.170882761478424
2002,6,2.534170150756836,-0.3549222946166992,0.0902622640132904,2.889092445373535
2002,7,2.8658900260925293,-0.30369117856025696,0.09707313776016235,3.1695812046527863
2002,8,2.237393617630005,-0.13252486288547516,0.07765333354473114,2.36991848051548
2002,9,1.4104392528533936,0.04520279914140701,0.05114801973104477,1.3652364537119865
2002,10,0.7071104049682617,0.22713465988636017,0.03028975985944271,0.47997574508190155
2002,11,0.17057661712169647,0.38223540782928467,0.015789572149515152,-0.2116587907075882
2002,12,0.058079417794942856,0.3709372878074646,0.010554661974310875,-0.31285787001252174
2003,1,0.09564392268657684,0.3785703182220459,0.011709681712090969,-0.28292639553546906
2003,2,0.07877129316329956,0.3520945906639099,0.013517512939870358,-0.27332329750061035
2003,3,0.29460880160331726,0.27196064591407776,0.02446478046476841,0.022648155689239502
2003,4,0.7823117971420288,-0.04962516576051712,0.03919479623436928,0.8319369629025459
2003,5,1.5015462636947632,-0.37176525592803955,0.05869569256901741,1.8733115196228027
2003,6,2.7242002487182617,-0.7453728914260864,0.08445721119642258,3.469573140144348
2003,7,2.8564579486846924,-0.249264195561409,0.10232166945934296,3.1057221442461014
2003,8,2.6941373348236084,-0.18326568603515625,0.08624791353940964,2.8774030208587646
2003,9,1.6427799463272095,-0.02247706800699234,0.05828658491373062,1.6652570143342018
2003,10,0.8863486647605896,0.23029223084449768,0.0349087193608284,0.6560564339160919
2003,11,0.17837132513523102,0.40071865916252136,0.015517866238951683,-0.22234733402729034
2003,12,0.0814291313290596,0.37527695298194885,0.011426848359405994,-0.29384782165288925
2004,1,0.053190287202596664,0.3497217297554016,0.010737110860645771,-0.29653144255280495
