# FLUXCOM-X-BASE monthly extraction
# Site       : US-MMS
# Time period: 2001-01 to 2021-12
# Source     : Nelson et al. (2024), Biogeosciences
#              Data DOI: https://doi.org/10.18160/5NZG-JMJE
# Access     : ICOS Carbon Portal public download (CCBY4 licence)
#              https://data.icos-cp.eu/licence_accept?ids=[...]
#              See ICOS_PIDS dict in this script for per-file PIDs
#
# Column units:
#   year           calendar year
#   month          calendar month (1 = January)
#   GPP_gC_m2_d    gross primary production    gC m-2 d-1
#   NEE_gC_m2_d    net ecosystem exchange      gC m-2 d-1  (negative = uptake)
#   TER_gC_m2_d    total ecosystem respiration gC m-2 d-1  (= GPP - NEE)
#   ET_mm_d        evapotranspiration          mm d-1
#
# Fill values: NaN (FLUXCOM fill values >1e15 or ==-9999 replaced with NaN)
#
year,month,GPP_gC_m2_d,NEE_gC_m2_d,ET_mm_d,TER_gC_m2_d
2001,1,0.15250371396541595,0.5006942749023438,0.01064571924507618,-0.3481905609369278
2001,2,0.2760770916938782,0.5711996555328369,0.016585612669587135,-0.29512256383895874
2001,3,0.5035912990570068,0.5395113229751587,0.027860630303621292,-0.035920023918151855
2001,4,2.83494234085083,0.13610020279884338,0.06603140383958817,2.6988421380519867
2001,5,6.403769016265869,-1.685560703277588,0.1063155084848404,8.089329719543457
2001,6,10.73762035369873,-4.217231273651123,0.14767812192440033,14.954851627349854
2001,7,10.939047813415527,-4.156219959259033,0.15398593246936798,15.09526777267456
2001,8,9.339293479919434,-2.9087867736816406,0.1417073756456375,12.248080253601074
2001,9,6.606399059295654,-1.4917323589324951,0.10993258655071259,8.09813141822815
2001,10,2.6218602657318115,0.5682862401008606,0.053422439843416214,2.053574025630951
2001,11,0.6008467078208923,1.1444801092147827,0.02150743454694748,-0.5436334013938904
2001,12,0.25037437677383423,0.8296238780021667,0.012989004142582417,-0.5792495012283325
2002,1,0.23068703711032867,0.628516674041748,0.012990639545023441,-0.3978296369314194
2002,2,0.3438698649406433,0.533637523651123,0.019792992621660233,-0.18976765871047974
2002,3,0.59417325258255,0.6967381238937378,0.027394015341997147,-0.10256487131118774
2002,4,1.8109005689620972,0.6754539608955383,0.051730044186115265,1.1354466080665588
2002,5,6.642449855804443,-2.2009146213531494,0.0936492457985878,8.843364477157593
2002,6,10.046849250793457,-3.8278462886810303,0.1625114232301712,13.874695539474487
2002,7,9.875802993774414,-3.387350559234619,0.16898395121097565,13.263153553009033
2002,8,8.742729187011719,-2.322258710861206,0.14251959323883057,11.064987897872925
2002,9,6.01976203918457,-0.6995424032211304,0.10793594270944595,6.719304442405701
2002,10,3.301576614379883,0.0784309059381485,0.05438581854104996,3.2231457084417343
